Employee_ID,Job_Role,Monthly_Income,Salary_Rank,income_vs_role_avg,Attrition
1196,"Manufacturing Director",6474,72,0.89,No
635,"Manufacturing Director",6447,73,0.88,No
341,"Manufacturing Director",6434,74,0.88,No
384,"Manufacturing Director",6397,75,0.88,No
460,"Manufacturing Director",6347,76,0.87,No
273,"Manufacturing Director",6261,77,0.86,No
1389,"Manufacturing Director",6179,78,0.85,Yes
78,"Manufacturing Director",6162,79,0.84,No
830,"Manufacturing Director",6162,79,0.84,No
2064,"Manufacturing Director",6142,81,0.84,No
211,"Manufacturing Director",6132,82,0.84,No
548,"Manufacturing Director",6091,83,0.83,No
827,"Manufacturing Director",6062,84,0.83,No
466,"Manufacturing Director",6032,85,0.83,No
77,"Manufacturing Director",5993,86,0.82,No
803,"Manufacturing Director",5980,87,0.82,No
339,"Manufacturing Director",5957,88,0.82,No
261,"Manufacturing Director",5916,89,0.81,Yes
1888,"Manufacturing Director",5906,90,0.81,No
1635,"Manufacturing Director",5770,91,0.79,No
1631,"Manufacturing Director",5768,92,0.79,No
1804,"Manufacturing Director",5762,93,0.79,No
799,"Manufacturing Director",5485,94,0.75,No
408,"Manufacturing Director",5482,95,0.75,No
1018,"Manufacturing Director",5472,96,0.75,No
1294,"Manufacturing Director",5410,97,0.74,No
1618,"Manufacturing Director",5377,98,0.74,No
1997,"Manufacturing Director",5321,99,0.73,No
1654,"Manufacturing Director",5295,100,0.73,No
270,"Manufacturing Director",5265,101,0.72,No
487,"Manufacturing Director",5258,102,0.72,No
1736,"Manufacturing Director",5238,103,0.72,No
823,"Manufacturing Director",5228,104,0.72,No
1653,"Manufacturing Director",5206,105,0.71,No
1936,"Manufacturing Director",5151,106,0.71,No
2025,"Manufacturing Director",5131,107,0.70,No
775,"Manufacturing Director",5121,108,0.70,No
574,"Manufacturing Director",5070,109,0.69,No
987,"Manufacturing Director",5067,110,0.69,No
1150,"Manufacturing Director",5056,111,0.69,No
1633,"Manufacturing Director",5042,112,0.69,No
1025,"Manufacturing Director",5003,113,0.69,No
178,"Manufacturing Director",4941,114,0.68,No
350,"Manufacturing Director",4898,115,0.67,No
1622,"Manufacturing Director",4877,116,0.67,No
1573,"Manufacturing Director",4855,117,0.67,Yes
550,"Manufacturing Director",4810,118,0.66,No
1886,"Manufacturing Director",4788,119,0.66,No
872,"Manufacturing Director",4775,120,0.65,No
920,"Manufacturing Director",4765,121,0.65,No
1615,"Manufacturing Director",4724,122,0.65,No
1298,"Manufacturing Director",4695,123,0.64,No
1614,"Manufacturing Director",4663,124,0.64,No
1322,"Manufacturing Director",4534,125,0.62,No
250,"Manufacturing Director",4450,126,0.61,No
1980,"Manufacturing Director",4440,127,0.61,No
836,"Manufacturing Director",4434,128,0.61,No
98,"Manufacturing Director",4424,129,0.61,No
1009,"Manufacturing Director",4377,130,0.60,No
1662,"Manufacturing Director",4374,131,0.60,No
308,"Manufacturing Director",4345,132,0.60,No
110,"Manufacturing Director",4325,133,0.59,No
1545,"Manufacturing Director",4320,134,0.59,No
208,"Manufacturing Director",4319,135,0.59,No
524,"Manufacturing Director",4306,136,0.59,No
274,"Manufacturing Director",4298,137,0.59,No
611,"Manufacturing Director",4262,138,0.58,No
1027,"Manufacturing Director",4227,139,0.58,No
1809,"Manufacturing Director",4213,140,0.58,Yes
518,"Manufacturing Director",4197,141,0.58,No
926,"Manufacturing Director",4171,142,0.57,Yes
1011,"Manufacturing Director",4148,143,0.57,No
1140,"Manufacturing Director",4033,144,0.55,No
26,"Manufacturing Director",4011,145,0.55,No
1035,"Research Director",19973,1,1.25,No
1255,"Research Director",19740,2,1.23,No
1423,"Research Director",19701,3,1.23,No
1867,"Research Director",19665,4,1.23,No
1069,"Research Director",19627,5,1.22,No
1128,"Research Director",19626,6,1.22,No
58,"Research Director",19545,7,1.22,Yes
162,"Research Director",19537,8,1.22,No
638,"Research Director",19502,9,1.22,No
352,"Research Director",19436,10,1.21,No
999,"Research Director",19419,11,1.21,No
522,"Research Director",19406,12,1.21,No
1789,"Research Director",19328,13,1.21,No
825,"Research Director",19246,14,1.20,Yes
1061,"Research Director",19237,15,1.20,No
1941,"Research Director",19161,16,1.20,No
385,"Research Director",19144,17,1.19,No
1217,"Research Director",19081,18,1.19,No
1608,"Research Director",19049,19,1.19,No
1770,"Research Director",19038,20,1.19,No
80,"Research Director",18740,21,1.17,No
254,"Research Director",18722,22,1.17,No
396,"Research Director",18665,23,1.16,No
447,"Research Director",18300,24,1.14,No
1263,"Research Director",18265,25,1.14,No
141,"Research Director",18172,26,1.13,No
575,"Research Director",17861,27,1.11,No
1250,"Research Director",17779,28,1.11,No
815,"Research Director",17639,29,1.10,No
1666,"Research Director",17603,30,1.10,No
386,"Research Director",17584,31,1.10,No
997,"Research Director",17399,32,1.09,No
1422,"Research Director",17328,33,1.08,No
1443,"Research Director",17169,34,1.07,No
843,"Research Director",17159,35,1.07,No
1485,"Research Director",17007,36,1.06,No
1317,"Research Director",16880,37,1.05,No
1719,"Research Director",16704,38,1.04,No
661,"Research Director",16627,39,1.04,No
1472,"Research Director",16598,40,1.04,No
1430,"Research Director",16422,41,1.02,No
1655,"Research Director",16413,42,1.02,No
1523,"Research Director",16328,43,1.02,No
612,"Research Director",16184,44,1.01,No
1264,"Research Director",16124,45,1.01,No
468,"Research Director",15992,46,1.00,No
1837,"Research Director",15787,47,0.98,No
730,"Research Director",14814,48,0.92,No
1424,"Research Director",14732,49,0.92,No
1539,"Research Director",14411,50,0.90,No
520,"Research Director",14336,51,0.89,No
901,"Research Director",14275,52,0.89,No
1468,"Research Director",13757,53,0.86,No
2017,"Research Director",13744,54,0.86,No
337,"Research Director",13675,55,0.85,No
102,"Research Director",13664,56,0.85,No
380,"Research Director",13603,57,0.85,No
950,"Research Director",13582,58,0.85,No
126,"Research Director",13549,59,0.85,No
1166,"Research Director",13499,60,0.84,No
1800,"Research Director",13464,61,0.84,No
73,"Research Director",13458,62,0.84,No
1911,"Research Director",13348,63,0.83,No
1656,"Research Director",13269,64,0.83,No
101,"Research Director",13245,65,0.83,No
2015,"Research Director",13206,66,0.82,No
1242,"Research Director",13191,67,0.82,No
844,"Research Director",12808,68,0.80,No
296,"Research Director",12490,69,0.78,No
306,"Research Director",12185,70,0.76,No
421,"Research Director",12061,71,0.75,No
28,"Research Director",11994,72,0.75,No
2000,"Research Director",11957,73,0.75,No
564,"Research Director",11935,74,0.74,No
742,"Research Director",11713,75,0.73,No
817,"Research Director",11691,76,0.73,No
461,"Research Director",11510,77,0.72,No
1015,"Research Director",11416,78,0.71,No
727,"Research Director",11159,79,0.70,No
1979,"Research Director",11031,80,0.69,No
86,"Research Scientist",9724,1,3.00,No
1847,"Research Scientist",6962,2,2.15,No
1830,"Research Scientist",6854,3,2.12,No
691,"Research Scientist",6646,4,2.05,No
347,"Research Scientist",6545,5,2.02,No
679,"Research Scientist",6322,6,1.95,No
96,"Research Scientist",6220,7,1.92,No
474,"Research Scientist",5974,8,1.84,No
1555,"Research Scientist",5878,9,1.81,No
441,"Research Scientist",5775,10,1.78,No
1932,"Research Scientist",5747,11,1.77,No
202,"Research Scientist",5605,12,1.73,No
630,"Research Scientist",5577,13,1.72,No
1580,"Research Scientist",5484,14,1.69,No
1671,"Research Scientist",5470,15,1.69,No
1934,"Research Scientist",5467,16,1.69,No
1392,"Research Scientist",5467,16,1.69,No
1658,"Research Scientist",5433,18,1.68,No
1998,"Research Scientist",5410,19,1.67,No
107,"Research Scientist",5329,20,1.64,No
1621,"Research Scientist",5208,21,1.61,No
865,"Research Scientist",5175,22,1.60,No
2,"Research Scientist",5130,23,1.58,No
2008,"Research Scientist",5098,24,1.57,No
439,"Research Scientist",5055,25,1.56,No
1956,"Research Scientist",5003,26,1.54,No
1235,"Research Scientist",4998,27,1.54,No
1745,"Research Scientist",4968,28,1.53,No
161,"Research Scientist",4963,29,1.53,Yes
433,"Research Scientist",4941,30,1.53,Yes
1704,"Research Scientist",4930,31,1.52,No
1483,"Research Scientist",4900,32,1.51,No
450,"Research Scientist",4869,33,1.50,No
423,"Research Scientist",4821,34,1.49,No
138,"Research Scientist",4809,35,1.48,No
2027,"Research Scientist",4787,36,1.48,Yes
1870,"Research Scientist",4774,37,1.47,No
1940,"Research Scientist",4771,38,1.47,No
171,"Research Scientist",4739,39,1.46,No
1668,"Research Scientist",4735,40,1.46,No
715,"Research Scientist",4680,41,1.44,No
949,"Research Scientist",4678,42,1.44,No
1346,"Research Scientist",4661,43,1.44,No
1080,"Research Scientist",4615,44,1.42,No
547,"Research Scientist",4556,45,1.41,No
1225,"Research Scientist",4541,46,1.40,No
1101,"Research Scientist",4508,47,1.39,Yes
151,"Research Scientist",4505,48,1.39,No
397,"Research Scientist",4485,49,1.38,No
1195,"Research Scientist",4477,50,1.38,No
529,"Research Scientist",4449,51,1.37,No
1180,"Research Scientist",4422,52,1.36,No
1707,"Research Scientist",4401,53,1.36,No
828,"Research Scientist",4382,54,1.35,Yes
804,"Research Scientist",4381,55,1.35,No
1976,"Research Scientist",4332,56,1.34,No
193,"Research Scientist",4317,57,1.33,No
1543,"Research Scientist",4285,58,1.32,No
1885,"Research Scientist",4284,59,1.32,No
791,"Research Scientist",4258,60,1.31,No
241,"Research Scientist",4257,61,1.31,No
1350,"Research Scientist",4249,62,1.31,No
2014,"Research Scientist",4108,63,1.27,No
1574,"Research Scientist",4087,64,1.26,No
1537,"Research Scientist",4084,65,1.26,Yes
1402,"Research Scientist",4081,66,1.26,No
24,"Research Scientist",3944,67,1.22,No
1640,"Research Scientist",3936,68,1.21,No
246,"Research Scientist",3929,69,1.21,No
340,"Research Scientist",3920,70,1.21,No
33,"Research Scientist",3919,71,1.21,Yes
1407,"Research Scientist",3904,72,1.20,No
1310,"Research Scientist",3904,72,1.20,Yes
1871,"Research Scientist",3902,74,1.20,No
277,"Research Scientist",3815,75,1.18,No
2054,"Research Scientist",3785,76,1.17,No
861,"Research Scientist",3761,77,1.16,No
1646,"Research Scientist",3760,78,1.16,No
1249,"Research Scientist",3760,78,1.16,No
452,"Research Scientist",3697,80,1.14,No
1257,"Research Scientist",3692,81,1.14,No
1097,"Research Scientist",3660,82,1.13,No
649,"Research Scientist",3622,83,1.12,No
964,"Research Scientist",3617,84,1.12,No
1834,"Research Scientist",3591,85,1.11,No
887,"Research Scientist",3580,86,1.10,No
1241,"Research Scientist",3579,87,1.10,No
267,"Research Scientist",3564,88,1.10,No
1340,"Research Scientist",3544,89,1.09,No
1694,"Research Scientist",3537,90,1.09,No
1647,"Research Scientist",3517,91,1.09,No
1291,"Research Scientist",3506,92,1.08,No
784,"Research Scientist",3505,93,1.08,No
440,"Research Scientist",3464,94,1.07,Yes
995,"Research Scientist",3452,95,1.07,No
192,"Research Scientist",3452,95,1.07,No
1751,"Research Scientist",3445,97,1.06,No
1720,"Research Scientist",3433,98,1.06,No
854,"Research Scientist",3424,99,1.06,No
1475,"Research Scientist",3420,100,1.06,No
1438,"Research Scientist",3420,100,1.06,No
51,"Research Scientist",3419,102,1.06,No
90,"Research Scientist",3388,103,1.05,Yes
1085,"Research Scientist",3376,104,1.04,No
2007,"Research Scientist",3375,105,1.04,No
702,"Research Scientist",3348,106,1.03,Yes
214,"Research Scientist",3346,107,1.03,No
335,"Research Scientist",3319,108,1.02,No
1607,"Research Scientist",3312,109,1.02,No
395,"Research Scientist",3310,110,1.02,No
21,"Research Scientist",3298,111,1.02,No
1143,"Research Scientist",3291,112,1.02,No
797,"Research Scientist",3280,113,1.01,No
379,"Research Scientist",3230,114,1.00,No
197,"Research Scientist",3204,115,0.99,No
1136,"Research Scientist",3201,116,0.99,No
1798,"Research Scientist",3143,117,0.97,No
1623,"Research Scientist",3117,118,0.96,No
510,"Research Scientist",3102,119,0.96,Yes
334,"Research Scientist",3072,120,0.95,No
1948,"Research Scientist",3065,121,0.95,No
233,"Research Scientist",3058,122,0.94,No
773,"Research Scientist",3057,123,0.94,No
1771,"Research Scientist",3055,124,0.94,No
231,"Research Scientist",3038,125,0.94,No
61,"Research Scientist",3022,126,0.93,No
1394,"Research Scientist",2996,127,0.92,No
1431,"Research Scientist",2996,127,0.92,No
1269,"Research Scientist",2994,129,0.92,No
1115,"Research Scientist",2979,130,0.92,No
2052,"Research Scientist",2977,131,0.92,No
1577,"Research Scientist",2972,132,0.92,No
31,"Research Scientist",2960,133,0.91,Yes
134,"Research Scientist",2956,134,0.91,No
1071,"Research Scientist",2942,135,0.91,No
1200,"Research Scientist",2936,136,0.91,Yes
1854,"Research Scientist",2936,136,0.91,No
1893,"Research Scientist",2933,138,0.91,No
1755,"Research Scientist",2932,139,0.90,No
1701,"Research Scientist",2929,140,0.90,No
16,"Research Scientist",2911,141,0.90,No
338,"Research Scientist",2911,141,0.90,No
5,"Research Scientist",2909,143,0.90,No
465,"Research Scientist",2904,144,0.90,No
1969,"Research Scientist",2897,145,0.89,No
143,"Research Scientist",2889,146,0.89,No
560,"Research Scientist",2886,147,0.89,No
1275,"Research Scientist",2875,148,0.89,No
1729,"Research Scientist",2862,149,0.88,No
105,"Research Scientist",2859,150,0.88,No
1203,"Research Scientist",2853,151,0.88,Yes
657,"Research Scientist",2836,152,0.88,No
1060,"Research Scientist",2821,153,0.87,No
705,"Research Scientist",2819,154,0.87,No
1605,"Research Scientist",2814,155,0.87,No
2048,"Research Scientist",2809,156,0.87,No
939,"Research Scientist",2799,157,0.86,No
802,"Research Scientist",2782,158,0.86,No
1999,"Research Scientist",2782,158,0.86,No
1238,"Research Scientist",2781,160,0.86,No
675,"Research Scientist",2773,161,0.86,No
579,"Research Scientist",2768,162,0.85,No
752,"Research Scientist",2759,163,0.85,Yes
252,"Research Scientist",2756,164,0.85,No
639,"Research Scientist",2725,165,0.84,No
353,"Research Scientist",2723,166,0.84,No
710,"Research Scientist",2720,167,0.84,No
1764,"Research Scientist",2718,168,0.84,No
221,"Research Scientist",2713,169,0.84,No
94,"Research Scientist",2703,170,0.83,No
1154,"Research Scientist",2703,170,0.83,No
824,"Research Scientist",2700,172,0.83,No
426,"Research Scientist",2695,173,0.83,No
923,"Research Scientist",2693,174,0.83,Yes
683,"Research Scientist",2691,175,0.83,No
780,"Research Scientist",2686,176,0.83,Yes
1006,"Research Scientist",2684,177,0.83,No
1873,"Research Scientist",2662,178,0.82,No
493,"Research Scientist",2657,179,0.82,No
297,"Research Scientist",2657,179,0.82,Yes
544,"Research Scientist",2654,181,0.82,No
46,"Research Scientist",2645,182,0.82,No
194,"Research Scientist",2632,183,0.81,No
305,"Research Scientist",2622,184,0.81,No
662,"Research Scientist",2619,185,0.81,No
159,"Research Scientist",2613,186,0.81,No
1382,"Research Scientist",2610,187,0.81,No
1016,"Research Scientist",2600,188,0.80,Yes
1265,"Research Scientist",2585,189,0.80,No
1648,"Research Scientist",2580,190,0.80,No
224,"Research Scientist",2566,191,0.79,No
913,"Research Scientist",2559,192,0.79,No
856,"Research Scientist",2559,192,0.79,No
838,"Research Scientist",2553,194,0.79,No
1193,"Research Scientist",2552,195,0.79,No
565,"Research Scientist",2546,196,0.79,Yes
501,"Research Scientist",2543,197,0.78,No
1162,"Research Scientist",2539,198,0.78,No
1259,"Research Scientist",2517,199,0.78,No
875,"Research Scientist",2515,200,0.78,No
1120,"Research Scientist",2514,201,0.78,No
826,"Research Scientist",2506,202,0.77,No
95,"Research Scientist",2501,203,0.77,No
242,"Research Scientist",2500,204,0.77,No
977,"Research Scientist",2479,205,0.77,Yes
434,"Research Scientist",2478,206,0.76,No
1878,"Research Scientist",2472,207,0.76,Yes
1081,"Research Scientist",2461,208,0.76,Yes
227,"Research Scientist",2451,209,0.76,No
1558,"Research Scientist",2451,209,0.76,No
2038,"Research Scientist",2439,211,0.75,No
1868,"Research Scientist",2439,211,0.75,Yes
1813,"Research Scientist",2438,213,0.75,No
1767,"Research Scientist",2437,214,0.75,Yes
2020,"Research Scientist",2436,215,0.75,No
1939,"Research Scientist",2432,216,0.75,Yes
994,"Research Scientist",2404,217,0.74,Yes
1405,"Research Scientist",2394,218,0.74,Yes
315,"Research Scientist",2389,219,0.74,Yes
930,"Research Scientist",2377,220,0.73,No
1292,"Research Scientist",2372,221,0.73,No
1308,"Research Scientist",2372,221,0.73,No
164,"Research Scientist",2368,223,0.73,No
1576,"Research Scientist",2367,224,0.73,No
848,"Research Scientist",2366,225,0.73,Yes
1522,"Research Scientist",2362,226,0.73,Yes
895,"Research Scientist",2356,227,0.73,No
1474,"Research Scientist",2345,228,0.72,No
1792,"Research Scientist",2342,229,0.72,Yes
763,"Research Scientist",2342,229,0.72,No
346,"Research Scientist",2340,231,0.72,No
284,"Research Scientist",2328,232,0.72,No
403,"Research Scientist",2326,233,0.72,No
217,"Research Scientist",2323,234,0.72,No
991,"Research Scientist",2321,235,0.72,Yes
933,"Research Scientist",2318,236,0.72,No
1108,"Research Scientist",2313,237,0.71,Yes
247,"Research Scientist",2311,238,0.71,No
1905,"Research Scientist",2307,239,0.71,Yes
45,"Research Scientist",2293,240,0.71,Yes
1206,"Research Scientist",2290,241,0.71,No
514,"Research Scientist",2285,242,0.71,Yes
260,"Research Scientist",2279,243,0.70,No
834,"Research Scientist",2274,244,0.70,No
945,"Research Scientist",2259,245,0.70,No
511,"Research Scientist",2244,246,0.69,No
1244,"Research Scientist",2235,247,0.69,No
1931,"Research Scientist",2226,248,0.69,No
741,"Research Scientist",2216,249,0.68,Yes
495,"Research Scientist",2201,250,0.68,No
88,"Research Scientist",2194,251,0.68,No
655,"Research Scientist",2187,252,0.68,No
309,"Research Scientist",2177,253,0.67,No
1202,"Research Scientist",2168,254,0.67,No
1947,"Research Scientist",2144,255,0.66,No
1609,"Research Scientist",2141,256,0.66,No
1937,"Research Scientist",2133,257,0.66,No
1546,"Research Scientist",2132,258,0.66,No
1004,"Research Scientist",2132,258,0.66,Yes
1448,"Research Scientist",2127,260,0.66,No
391,"Research Scientist",2115,261,0.65,No
1762,"Research Scientist",2109,262,0.65,No
1210,"Research Scientist",2107,263,0.65,Yes
1303,"Research Scientist",2096,264,0.65,No
262,"Research Scientist",2089,265,0.64,No
680,"Research Scientist",2083,266,0.64,No
1301,"Research Scientist",2080,267,0.64,No
1592,"Research Scientist",2073,268,0.64,No
1131,"Research Scientist",2070,269,0.64,No
377,"Research Scientist",2070,269,0.64,No
1441,"Research Scientist",2066,271,0.64,No
1581,"Research Scientist",2061,272,0.64,No
300,"Research Scientist",2058,273,0.64,Yes
700,"Research Scientist",2045,274,0.63,No
1799,"Research Scientist",2044,275,0.63,No
1053,"Research Scientist",2042,276,0.63,Yes
1374,"Research Scientist",2029,277,0.63,No
218,"Research Scientist",2024,278,0.62,No
881,"Research Scientist",2022,279,0.62,Yes
1246,"Research Scientist",2011,280,0.62,No
1068,"Research Scientist",2007,281,0.62,No
2051,"Research Scientist",2001,282,0.62,No
1248,"Research Scientist",1859,283,0.57,Yes
850,"Research Scientist",1706,284,0.53,No
1506,"Research Scientist",1563,285,0.48,No
1839,"Research Scientist",1514,286,0.47,No
1482,"Research Scientist",1274,287,0.39,No
1433,"Research Scientist",1261,288,0.39,Yes
30,"Research Scientist",1232,289,0.38,No
1270,"Research Scientist",1223,290,0.38,No
1012,"Research Scientist",1051,291,0.32,No
701,"Research Scientist",1009,292,0.31,Yes
131,"Sales Executive",13872,1,2.00,No
746,"Sales Executive",13770,2,1.99,No
1167,"Sales Executive",13758,3,1.99,Yes
1372,"Sales Executive",13695,4,1.98,Yes
404,"Sales Executive",13525,5,1.95,No
1975,"Sales Executive",13341,6,1.93,No
1039,"Sales Executive",13320,7,1.92,No
1863,"Sales Executive",13225,8,1.91,No
532,"Sales Executive",13212,9,1.91,No
986,"Sales Executive",13194,10,1.91,Yes
1138,"Sales Executive",13120,11,1.89,No
1716,"Sales Executive",12936,12,1.87,Yes
2056,"Sales Executive",12031,13,1.74,No
897,"Sales Executive",11836,14,1.71,No
862,"Sales Executive",10934,15,1.58,No
615,"Sales Executive",10932,16,1.58,No
215,"Sales Executive",10855,17,1.57,No
2055,"Sales Executive",10854,18,1.57,Yes
1076,"Sales Executive",10798,19,1.56,No
1453,"Sales Executive",10793,20,1.56,No
864,"Sales Executive",10761,21,1.55,No
1070,"Sales Executive",10686,22,1.54,No
307,"Sales Executive",10609,23,1.53,No
970,"Sales Executive",10609,23,1.53,Yes
1391,"Sales Executive",10596,25,1.53,No
729,"Sales Executive",10475,26,1.51,No
244,"Sales Executive",10453,27,1.51,No
1968,"Sales Executive",10448,28,1.51,Yes
1815,"Sales Executive",10447,29,1.51,No
2016,"Sales Executive",10422,30,1.51,No
291,"Sales Executive",10400,31,1.50,Yes
1243,"Sales Executive",10377,32,1.50,No
1732,"Sales Executive",10368,33,1.50,No
967,"Sales Executive",10325,34,1.49,Yes
1639,"Sales Executive",10306,35,1.49,Yes
573,"Sales Executive",10266,36,1.48,No
106,"Sales Executive",10239,37,1.48,No
1293,"Sales Executive",10231,38,1.48,No
1457,"Sales Executive",10096,39,1.46,Yes
1395,"Sales Executive",9998,40,1.44,No
293,"Sales Executive",9981,41,1.44,No
592,"Sales Executive",9980,42,1.44,No
1582,"Sales Executive",9924,43,1.43,No
1862,"Sales Executive",9907,44,1.43,Yes
1950,"Sales Executive",9888,45,1.43,No
1933,"Sales Executive",9854,46,1.42,Yes
1324,"Sales Executive",9852,47,1.42,No
154,"Sales Executive",9738,48,1.41,No
1047,"Sales Executive",9725,49,1.40,No
1562,"Sales Executive",9714,50,1.40,Yes
1882,"Sales Executive",9713,51,1.40,No
954,"Sales Executive",9705,52,1.40,No
481,"Sales Executive",9699,53,1.40,No
1833,"Sales Executive",9637,54,1.39,No
118,"Sales Executive",9619,55,1.39,Yes
1739,"Sales Executive",9610,56,1.39,No
656,"Sales Executive",9602,57,1.39,No
1100,"Sales Executive",9582,58,1.38,Yes
1700,"Sales Executive",9525,59,1.38,No
228,"Sales Executive",9419,60,1.36,No
488,"Sales Executive",9355,61,1.35,Yes
1425,"Sales Executive",9278,62,1.34,No
1568,"Sales Executive",9250,63,1.34,No
1708,"Sales Executive",9241,64,1.33,No
174,"Sales Executive",9208,65,1.33,No
1446,"Sales Executive",9204,66,1.33,No
1318,"Sales Executive",9094,67,1.31,Yes
580,"Sales Executive",9071,68,1.31,No
74,"Sales Executive",9069,69,1.31,No
207,"Sales Executive",8998,70,1.30,No
1218,"Sales Executive",8966,71,1.29,No
2037,"Sales Executive",8938,72,1.29,No
302,"Sales Executive",8865,73,1.28,No
626,"Sales Executive",8834,74,1.28,No
314,"Sales Executive",8789,75,1.27,No
1119,"Sales Executive",8740,76,1.26,No
56,"Sales Executive",8726,77,1.26,No
230,"Sales Executive",8686,78,1.25,No
183,"Sales Executive",8639,79,1.25,No
1951,"Sales Executive",8628,80,1.25,No
1497,"Sales Executive",8620,81,1.24,No
1758,"Sales Executive",8564,82,1.24,Yes
1469,"Sales Executive",8463,83,1.22,No
1319,"Sales Executive",8446,84,1.22,Yes
567,"Sales Executive",8412,85,1.21,No
1066,"Sales Executive",8396,86,1.21,No
534,"Sales Executive",8392,87,1.21,No
682,"Sales Executive",8381,88,1.21,No
1268,"Sales Executive",8380,89,1.21,No
1749,"Sales Executive",8346,90,1.21,No
463,"Sales Executive",8268,91,1.19,No
1588,"Sales Executive",8237,92,1.19,No
1157,"Sales Executive",8224,93,1.19,Yes
176,"Sales Executive",8189,94,1.18,No
1761,"Sales Executive",8161,95,1.18,Yes
712,"Sales Executive",8120,96,1.17,No
1915,"Sales Executive",8103,97,1.17,No
406,"Sales Executive",8020,98,1.16,No
1801,"Sales Executive",7991,99,1.15,No
312,"Sales Executive",7918,100,1.14,No
985,"Sales Executive",7880,101,1.14,No
1706,"Sales Executive",7847,102,1.13,No
984,"Sales Executive",7823,103,1.13,No
840,"Sales Executive",7654,104,1.11,Yes
2024,"Sales Executive",7644,105,1.10,No
904,"Sales Executive",7642,106,1.10,No
283,"Sales Executive",7639,107,1.10,Yes
81,"Sales Executive",7637,108,1.10,No
513,"Sales Executive",7596,109,1.10,No
789,"Sales Executive",7587,110,1.10,No
438,"Sales Executive",7547,111,1.09,No
1050,"Sales Executive",7525,112,1.09,No
453,"Sales Executive",7457,113,1.08,No
152,"Sales Executive",7428,114,1.07,No
1125,"Sales Executive",7351,115,1.06,No
1165,"Sales Executive",7336,116,1.06,Yes
1869,"Sales Executive",7314,117,1.06,Yes
204,"Sales Executive",7295,118,1.05,No
982,"Sales Executive",7264,119,1.05,No
1754,"Sales Executive",7140,120,1.03,No
677,"Sales Executive",7104,121,1.03,No
1535,"Sales Executive",7083,122,1.02,No
1678,"Sales Executive",7082,123,1.02,No
947,"Sales Executive",6932,124,1.00,No
349,"Sales Executive",6931,125,1.00,No
416,"Sales Executive",6929,126,1.00,No
1355,"Sales Executive",6893,127,1.00,No
1036,"Sales Executive",6861,128,0.99,No
1239,"Sales Executive",6852,129,0.99,No
1927,"Sales Executive",6834,130,0.99,No
35,"Sales Executive",6825,131,0.99,No
1585,"Sales Executive",6815,132,0.98,No
754,"Sales Executive",6804,133,0.98,No
1823,"Sales Executive",6799,134,0.98,No
723,"Sales Executive",6796,135,0.98,Yes
1734,"Sales Executive",6735,136,0.97,Yes
2044,"Sales Executive",6728,137,0.97,Yes
2035,"Sales Executive",6712,138,0.97,No
299,"Sales Executive",6696,139,0.97,Yes
1105,"Sales Executive",6694,140,0.97,No
479,"Sales Executive",6653,141,0.96,No
2045,"Sales Executive",6652,142,0.96,No
366,"Sales Executive",6644,143,0.96,No
1912,"Sales Executive",6583,144,0.95,No
604,"Sales Executive",6582,145,0.95,No
1179,"Sales Executive",6578,146,0.95,No
533,"Sales Executive",6577,147,0.95,No
523,"Sales Executive",6538,148,0.94,No
889,"Sales Executive",6524,149,0.94,No
378,"Sales Executive",6502,150,0.94,No
1898,"Sales Executive",6500,151,0.94,No
808,"Sales Executive",6500,151,0.94,No
1557,"Sales Executive",6439,153,0.93,No
785,"Sales Executive",6397,154,0.92,Yes
1560,"Sales Executive",6392,155,0.92,No
492,"Sales Executive",6380,156,0.92,Yes
449,"Sales Executive",6349,157,0.92,No
1040,"Sales Executive",6347,158,0.92,No
868,"Sales Executive",6334,159,0.91,No
786,"Sales Executive",6274,160,0.91,No
641,"Sales Executive",6272,161,0.91,No
936,"Sales Executive",6244,162,0.90,No
1399,"Sales Executive",6232,163,0.90,No
599,"Sales Executive",6230,164,0.90,No
458,"Sales Executive",6214,165,0.90,No
1304,"Sales Executive",6209,166,0.90,No
857,"Sales Executive",6201,167,0.90,No
781,"Sales Executive",6180,168,0.89,No
163,"Sales Executive",6172,169,0.89,Yes
1329,"Sales Executive",6151,170,0.89,No
160,"Sales Executive",6146,171,0.89,No
1733,"Sales Executive",6134,172,0.89,Yes
1356,"Sales Executive",6125,173,0.88,No
1390,"Sales Executive",6120,174,0.88,No
456,"Sales Executive",6118,175,0.88,No
1779,"Sales Executive",6029,176,0.87,No
1,"Sales Executive",5993,177,0.87,Yes
303,"Sales Executive",5940,178,0.86,No
182,"Sales Executive",5902,179,0.85,No
1650,"Sales Executive",5869,180,0.85,No
401,"Sales Executive",5828,181,0.84,Yes
1797,"Sales Executive",5813,182,0.84,Yes
62,"Sales Executive",5772,183,0.83,No
1403,"Sales Executive",5769,184,0.83,No
1487,"Sales Executive",5765,185,0.83,Yes
142,"Sales Executive",5744,186,0.83,Yes
1929,"Sales Executive",5736,187,0.83,No
516,"Sales Executive",5715,188,0.83,No
1163,"Sales Executive",5714,189,0.83,No
1986,"Sales Executive",5677,190,0.82,No
1849,"Sales Executive",5675,191,0.82,No
1880,"Sales Executive",5673,192,0.82,No
983,"Sales Executive",5666,193,0.82,No
1436,"Sales Executive",5647,194,0.82,No
1967,"Sales Executive",5617,195,0.81,Yes
